200,200
197,58	154,133	155,132	154,132	196,58	197,59	155,133	153,133	196,59	153,132
125,153	124,154	69,166	67,165	69,165	67,166	67,167	68,166	68,165	176,4
4,42	150,41	3,42	52,46	52,45	149,41	3,41	148,41	149,40	4,41
198,2	197,2	106,152	106,151	106,150	197,3	107,152	107,151	196,2	198,3
137,124	194,0	138,123	137,123	138,124	194,2	2,0	195,1	194,1	193,2
44,196	43,195	45,195	197,22	74,84	44,195	43,196	74,85	73,84	73,85
9,192	199,6	200,4	199,4	199,5	8,191	199,7	200,7	200,6	8,192
10,21	10,19	187,195	11,21	12,21	11,19	11,20	10,20	193,41	12,20
0,3	184,21	175,131	1,3	185,21	1,2	175,130	185,20	174,130	184,20
61,66	60,66	61,67	23,136	196,199	62,67	61,68	23,137	24,136	60,67
