150,150
64,2	146,121	146,120	147,120	146,118	0,150	147,119	63,2	146,117	147,121
84,148	83,6	84,6	85,4	83,5	83,148	85,5	83,147	84,7	84,5
98,1	97,1	3,109	2,108	3,110	3,108	97,2	2,109	98,2	4,110
150,7	1,111	1,112	75,82	74,82	75,83	74,83	0,111	2,111	3,7
124,15	53,148	124,16	53,150	52,149	54,150	123,15	124,14	54,149	53,149
111,112	14,126	110,113	14,127	109,113	25,43	110,112	147,0	24,44	109,112
88,48	89,49	73,19	73,20	73,18	89,48	72,20	88,49	72,19	88,50
128,6	4,13	127,5	1,56	1,55	4,14	128,5	127,6	3,14	2,55
146,1	149,149	147,1	147,0	148,1	48,75	47,75	47,76	49,75	48,74
5,0	82,148	82,147	145,6	83,149	144,5	1,87	83,148	144,6	83,147
