150,150
3,13	107,4	106,4	107,3	62,122	106,3	63,121	62,120	62,121	105,4
33,12	145,143	32,12	64,82	33,11	34,11	63,82	34,12	64,83	144,144
14,55	15,57	14,56	150,147	15,55	15,56	15,54	136,20	14,54	135,21
12,62	13,62	11,62	12,63	143,107	143,109	11,63	150,1	13,63	12,64
0,7	5,131	80,74	5,132	79,75	150,150	4,131	4,132	5,133	80,75
73,106	75,106	74,105	131,120	138,23	42,0	41,0	131,121	40,0	74,106
144,128	74,4	144,126	142,128	143,128	143,126	73,4	73,5	143,127	74,3
134,41	5,11	6,12	133,41	6,11	133,39	134,40	133,40	8,142	134,39
21,100	150,37	21,101	22,101	22,100	66,10	23,101	66,11	150,36	67,10
18,143	19,144	18,144	19,143	123,57	124,58	123,58	124,57	122,57	124,59
