150,150
142,0	143,0	130,133	129,133	57,131	129,134	130,134	142,1	58,130	57,130
117,2	116,1	118,1	117,1	115,0	116,0	118,2	117,0	118,0	118,3
84,1	83,1	85,0	83,0	78,85	78,84	78,86	84,0	77,84	77,85
90,93	147,2	147,1	90,92	148,1	147,0	148,2	148,0	89,92	89,93
36,11	37,11	37,12	36,10	37,13	38,13	38,11	38,12	37,10	36,12
133,40	51,50	50,50	134,39	135,40	134,40	135,39	50,49	51,49	134,41
55,3	115,130	54,4	123,27	55,4	123,28	122,27	114,130	115,131	54,3
88,101	87,101	87,102	88,102	89,101	87,103	88,103	88,104	89,102	11,4
21,122	22,124	22,122	27,80	21,124	21,123	22,123	29,80	142,126	28,80
85,97	84,97	84,96	83,95	83,96	84,95	82,96	0,1	83,97	82,97
