200,200
44,34	44,35	43,34	45,34	43,36	44,36	42,36	50,133	51,133	43,35
136,87	188,59	190,59	135,87	189,59	189,60	188,60	136,88	137,87	137,88
1,149	46,74	167,181	46,73	2,150	167,180	2,148	2,149	166,180	3,149
12,159	196,158	5,147	197,158	6,147	192,91	197,159	198,158	196,159	193,90
198,8	62,119	11,63	197,8	62,118	11,62	12,62	61,118	11,61	61,119
129,89	16,118	17,118	56,30	55,31	184,76	55,30	16,117	129,90	184,77
49,135	7,9	8,9	189,4	8,10	189,3	7,10	49,134	48,135	48,134
118,149	119,150	120,150	119,151	119,149	59,139	7,0	58,139	117,150	118,150
6,72	116,3	117,2	7,71	116,1	116,2	115,2	6,71	7,72	117,3
159,172	160,173	1,173	113,83	114,82	0,172	114,83	1,172	159,173	0,173
