200,200
87,172	87,174	86,172	88,172	87,173	88,171	16,61	15,61	88,170	86,173
80,3	46,73	45,73	79,4	45,72	46,72	80,4	79,3	81,3	44,73
127,122	108,198	109,198	128,122	128,121	108,197	109,197	128,120	127,121	190,36
15,198	178,140	15,199	178,138	178,139	14,198	179,139	179,138	14,199	179,141
37,185	156,180	38,184	39,186	155,180	38,185	156,182	39,185	156,181	38,186
26,192	26,193	25,191	27,191	25,193	117,127	26,191	27,193	27,190	27,192
22,59	23,60	23,59	22,60	168,52	183,139	182,140	183,140	168,53	184,140
76,171	77,171	26,78	75,170	25,78	23,163	23,162	77,170	75,171	76,170
62,158	61,158	132,3	131,4	130,4	61,157	61,159	130,3	131,3	132,4
185,42	110,199	111,198	184,43	110,197	184,42	110,198	111,199	183,42	109,199
